====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
I===================================E===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = He   Energy = 4.5 keV
 Total Ions calculated =20000,00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 50000,E+02 AAA ;
  Layer # 1- Density = 5.360E22 atoms/cm3 = 2.5 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
Layer  2 : None
Layer Width = 15000,E+00 AAA ;
  Layer # 2- Density = 5.360E22 atoms/cm3 = 2.5 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 640150,E-03 A   Straggling = 191151,E-01 A
 Ion Lateral Range = 234135,E-03 A   Straggling = 289687,E-03 A
 Ion Radial  Range = 368302,E-03 A   Straggling = 227482,E-03 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
5015001,E-02 23410741,E-05 28964378,E-05 36725430,E-05 17901096,E-05 
1003000,E-01 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
1504500,E-01 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
2006000,E-01 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
2507500,E-01 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
3009000,E-01 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
3510500,E-01 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
4012000,E-01 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
4513500,E-01 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
5015000,E-01 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
5516500,E-01 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
6018000,E-01 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
6519500,E-01 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
7021000,E-01 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
7522500,E-01 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
8024000,E-01 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
8525500,E-01 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
9027000,E-01 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
9528500,E-01 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
1003000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
1053150,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
1103300,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
1153450,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
1203600,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
1253750,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
1303900,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
1354050,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
1404200,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
1454350,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
1504500,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
1554650,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
1604800,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
1654950,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
1705100,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
1755250,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
1805400,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
1855550,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
1905700,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
1955850,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
2006000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
2056150,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
2106300,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
2156450,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
2206600,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
2256750,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
2306900,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
2357050,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
2407200,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
2457350,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
2507500,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
2557650,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
2607800,E+00 73081791,E-05 73081791,E-05 19175878,E-03 00000000,E+00 
2657950,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
2708100,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
2758250,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
2808400,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
2858550,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
2908700,E+00 00000000,E+00 00000000,E+00 00000000,E+00 00000000,E+00 
