====== pysrim run =======
        SRIM-2013.00
==================================================
      ION and final RECOIL ATOM Distributions     
 See  SRIM Outputs\TDATA.txt for calculation details
==================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
----------------------------------------------------------------
  There are NO RECOILS unless a full TRIM calculation is made.   
----------------------------------------------------------------
See file :  SRIM Outputs\TDATA.txt   for details of calculation
 Ion    = He   Energy = 4,5  keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     5,E+06 A   Layer # 1- Density = 5.360E22 atoms/cm3 = 2.5 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
Layer  2 : None
Layer Width =     2,E+04 A   Layer # 2- Density = 5.360E22 atoms/cm3 = 2.5 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =20000,00
 Ion Average Range =   640,2E+00 A   Straggling =   191,2E+02 A
 Ion Lateral Range =   234,1E+00 A   Straggling =   289,7E+00 A
 Ion Radial  Range =   368,3E+00 A   Straggling =   227,5E+00 A
====================================================================
 Transmitted Ions =562;  Backscattered Ions =1486
 (These are not included in Skewne- and Kurtosis below.)

 Range Skewne- = 133,9439  &= [-(X-Rp)^3]/[N*Straggle^3]
 Range Kurtosis = 17944,6425  &= [-(X-Rp)^4]/[N*Straggle^4]
 Statistical definitions above are those used in VLSI implant modelling.
====================================================================
=================================================================
  Table Distribution Units are >>>  (Atoms/cm3) / (Atoms/cm2)  <<<  
=================================================================
   DEPTH         He       Recoil     
   (Ang.)       Ions     Distribution
-----------  ----------  ------------
501500,E-01  1,7897E+03  0,0000E+00
100300,E+00  0,0000E+00  0,0000E+00
150450,E+00  0,0000E+00  0,0000E+00
200600,E+00  0,0000E+00  0,0000E+00
250750,E+00  0,0000E+00  0,0000E+00
300900,E+00  0,0000E+00  0,0000E+00
351050,E+00  0,0000E+00  0,0000E+00
401200,E+00  0,0000E+00  0,0000E+00
451350,E+00  0,0000E+00  0,0000E+00
501500,E+00  0,0000E+00  0,0000E+00
551650,E+00  0,0000E+00  0,0000E+00
601800,E+00  0,0000E+00  0,0000E+00
651950,E+00  0,0000E+00  0,0000E+00
702100,E+00  0,0000E+00  0,0000E+00
752250,E+00  0,0000E+00  0,0000E+00
802400,E+00  0,0000E+00  0,0000E+00
852550,E+00  0,0000E+00  0,0000E+00
902700,E+00  0,0000E+00  0,0000E+00
952850,E+00  0,0000E+00  0,0000E+00
100300,E+01  0,0000E+00  0,0000E+00
105315,E+01  0,0000E+00  0,0000E+00
110330,E+01  0,0000E+00  0,0000E+00
115345,E+01  0,0000E+00  0,0000E+00
120360,E+01  0,0000E+00  0,0000E+00
125375,E+01  0,0000E+00  0,0000E+00
130390,E+01  0,0000E+00  0,0000E+00
135405,E+01  0,0000E+00  0,0000E+00
140420,E+01  0,0000E+00  0,0000E+00
145435,E+01  0,0000E+00  0,0000E+00
150450,E+01  0,0000E+00  0,0000E+00
155465,E+01  0,0000E+00  0,0000E+00
160480,E+01  0,0000E+00  0,0000E+00
165495,E+01  0,0000E+00  0,0000E+00
170510,E+01  0,0000E+00  0,0000E+00
175525,E+01  0,0000E+00  0,0000E+00
180540,E+01  0,0000E+00  0,0000E+00
185555,E+01  0,0000E+00  0,0000E+00
190570,E+01  0,0000E+00  0,0000E+00
195585,E+01  0,0000E+00  0,0000E+00
200600,E+01  0,0000E+00  0,0000E+00
205615,E+01  0,0000E+00  0,0000E+00
210630,E+01  0,0000E+00  0,0000E+00
215645,E+01  0,0000E+00  0,0000E+00
220660,E+01  0,0000E+00  0,0000E+00
225675,E+01  0,0000E+00  0,0000E+00
230690,E+01  0,0000E+00  0,0000E+00
235705,E+01  0,0000E+00  0,0000E+00
240720,E+01  0,0000E+00  0,0000E+00
245735,E+01  0,0000E+00  0,0000E+00
250750,E+01  0,0000E+00  0,0000E+00
255765,E+01  0,0000E+00  0,0000E+00
260780,E+01  9,9701E-02  0,0000E+00
265795,E+01  0,0000E+00  0,0000E+00
