====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 300000 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 20000,E+05 A ;
  Layer # 1- Density = 19.86E22 atoms/cm3 = 8.9 g/cm3
  Layer # 1- Al = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =000115,66
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
200000,E+02  4039,76E-04  9136,97E-09
400000,E+02  4308,62E-04  1010,71E-08
600000,E+02  4739,52E-04  2320,23E-08
800000,E+02  5394,84E-04  1302,26E-08
100000,E+03  6931,41E-04  1839,30E-08
120000,E+03  9012,88E-04  7371,07E-08
140000,E+03  1157,05E-04  1260,77E-09
160000,E+03  1173,03E-04  3078,24E-09
180000,E+03  1218,08E-04  2896,71E-09
200000,E+03  1184,45E-04  1854,39E-09
220000,E+03  1210,24E-04  2355,10E-09
240000,E+03  1244,79E-04  2989,60E-08
260000,E+03  1231,50E-04  1764,63E-09
280000,E+03  1256,67E-04  1884,95E-09
300000,E+03  1304,52E-04  4938,56E-08
320000,E+03  1310,02E-04  2203,76E-09
340000,E+03  1346,03E-04  4183,03E-09
360000,E+03  1356,42E-04  2465,37E-09
380000,E+03  1420,56E-04  2572,53E-09
400000,E+03  1398,32E-04  2184,80E-09
420000,E+03  1472,54E-04  4891,87E-09
440000,E+03  1502,73E-04  2279,36E-09
460000,E+03  1538,45E-04  1276,10E-08
480000,E+03  1572,31E-04  2190,40E-08
500000,E+03  1632,38E-04  3407,70E-09
520000,E+03  1682,64E-04  5039,75E-09
540000,E+03  1730,10E-04  4185,31E-09
560000,E+03  1808,41E-04  9261,37E-08
580000,E+03  1895,96E-04  3105,91E-09
600000,E+03  2008,39E-04  5291,74E-09
620000,E+03  2110,16E-04  8799,99E-09
640000,E+03  2245,10E-04  4730,21E-09
660000,E+03  2456,29E-04  5792,02E-09
680000,E+03  2737,01E-04  1512,46E-08
700000,E+03  3242,70E-04  1613,21E-08
720000,E+03  4447,77E-04  1481,36E-08
740000,E+03  5287,22E-04  1927,26E-08
760000,E+03  1692,39E-04  1092,77E-08
780000,E+03  5518,65E-06  2644,43E-10
800000,E+03  0000,00E+00  0000,00E+00
820000,E+03  0000,00E+00  0000,00E+00
840000,E+03  0000,00E+00  0000,00E+00
860000,E+03  0000,00E+00  0000,00E+00
880000,E+03  0000,00E+00  0000,00E+00
900000,E+03  0000,00E+00  0000,00E+00
920000,E+03  0000,00E+00  0000,00E+00
940000,E+03  0000,00E+00  0000,00E+00
960000,E+03  0000,00E+00  0000,00E+00
980000,E+03  0000,00E+00  0000,00E+00
100000,E+04  0000,00E+00  0000,00E+00
102000,E+04  0000,00E+00  0000,00E+00
104000,E+04  0000,00E+00  0000,00E+00
106000,E+04  0000,00E+00  0000,00E+00
108000,E+04  0000,00E+00  0000,00E+00
110000,E+04  0000,00E+00  0000,00E+00
112000,E+04  0000,00E+00  0000,00E+00
114000,E+04  0000,00E+00  0000,00E+00
116000,E+04  0000,00E+00  0000,00E+00
118000,E+04  0000,00E+00  0000,00E+00
120000,E+04  0000,00E+00  0000,00E+00
122000,E+04  0000,00E+00  0000,00E+00
124000,E+04  0000,00E+00  0000,00E+00
126000,E+04  0000,00E+00  0000,00E+00
128000,E+04  0000,00E+00  0000,00E+00
130000,E+04  0000,00E+00  0000,00E+00
132000,E+04  0000,00E+00  0000,00E+00
134000,E+04  0000,00E+00  0000,00E+00
136000,E+04  0000,00E+00  0000,00E+00
138000,E+04  0000,00E+00  0000,00E+00
140000,E+04  0000,00E+00  0000,00E+00
142000,E+04  0000,00E+00  0000,00E+00
144000,E+04  0000,00E+00  0000,00E+00
146000,E+04  0000,00E+00  0000,00E+00
148000,E+04  0000,00E+00  0000,00E+00
150000,E+04  0000,00E+00  0000,00E+00
152000,E+04  0000,00E+00  0000,00E+00
154000,E+04  0000,00E+00  0000,00E+00
156000,E+04  0000,00E+00  0000,00E+00
158000,E+04  0000,00E+00  0000,00E+00
160000,E+04  0000,00E+00  0000,00E+00
162000,E+04  0000,00E+00  0000,00E+00
164000,E+04  0000,00E+00  0000,00E+00
166000,E+04  0000,00E+00  0000,00E+00
168000,E+04  0000,00E+00  0000,00E+00
170000,E+04  0000,00E+00  0000,00E+00
172000,E+04  0000,00E+00  0000,00E+00
174000,E+04  0000,00E+00  0000,00E+00
176000,E+04  0000,00E+00  0000,00E+00
178000,E+04  0000,00E+00  0000,00E+00
180000,E+04  0000,00E+00  0000,00E+00
182000,E+04  0000,00E+00  0000,00E+00
184000,E+04  0000,00E+00  0000,00E+00
186000,E+04  0000,00E+00  0000,00E+00
188000,E+04  0000,00E+00  0000,00E+00
190000,E+04  0000,00E+00  0000,00E+00
192000,E+04  0000,00E+00  0000,00E+00
194000,E+04  0000,00E+00  0000,00E+00
196000,E+04  0000,00E+00  0000,00E+00
198000,E+04  0000,00E+00  0000,00E+00
200000,E+04  0000,00E+00  0000,00E+00
