============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(50 MeV) ==> None+None(  1 mm) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  869  1 ,3399532E+08   1000000E+01  ,2789E+05 -,1929E+06   ,9996529  ,0097507 -,0244732
T  870  1 ,4070865E+08   1000000E+01 -,3468E+06  ,1777E+06   ,9987634 -,0314083  ,0385387
T  871  1 ,4162530E+08   1000000E+01 -,2543E+05 -,5947E+05   ,9999874  ,0044182 -,0023839
T  872  1 ,4117000E+08   1000000E+01 -,2455E+05  ,1724E+05   ,9997395  ,0163325  ,0159454
T  873  1 ,4033216E+08   1000000E+01  ,2275E+05  ,1648E+05   ,9999295 -,0010512  ,0118294
T  874  1 ,4086604E+08   1000000E+01  ,3594E+06 -,1982E+06   ,9966287  ,0740084 -,0354127
T  875  1 ,4027215E+08   1000000E+01 -,1824E+06 -,1744E+06   ,9970585 -,0577258 -,0504187
T  876  1 ,4063113E+08   1000000E+01  ,9275E+05  ,1543E+06   ,9997922  ,0056657  ,0195802
T  877  1 ,4073293E+08   1000000E+01  ,1503E+06 -,1095E+06   ,9995682  ,0231215 -,0181342
T  878  1 ,4060186E+08   1000000E+01 -,6657E+05 -,2588E+05   ,9999325  ,0013676 -,0115414
T  879  1 ,4019112E+08   1000000E+01 -,5352E+05 -,3876E+06   ,9988294 -,0117409 -,0469249
T  880  1 ,4067432E+08   1000000E+01  ,1664E+05  ,1806E+06   ,9995664 -,0080325  ,0283289
T  881  1 ,4059575E+08   1000000E+01  ,6281E+05  ,2243E+06   ,9992178  ,0133887  ,0372098
T  882  1 ,4081514E+08   1000000E+01 -,1430E+06  ,2585E+05   ,9998017 -,0177102  ,0091091
T  883  1 ,4096521E+08   1000000E+01  ,3737E+06 -,1987E+05   ,9985520  ,0524975 -,0117443
T  884  1 ,3477791E+08   1000000E+01 -,2484E+06 -,3855E+06   ,9993968 -,0056249 -,0342701
T  885  1 ,4104012E+08   1000000E+01  ,6681E+04  ,2405E+06   ,9981818 -,0194905  ,0570364
T  886  1 ,4009173E+08   1000000E+01 -,1063E+06 -,5740E+05   ,9994386 -,0247315 -,0226026
T  887  1 ,4118957E+08   1000000E+01 -,8997E+05  ,1635E+06   ,9992139 -,0244469  ,0312086
T  888  1 ,4025441E+08   1000000E+01 -,5051E+05  ,1263E+06   ,9994415 -,0008936  ,0334047
T  889  1 ,4046241E+08   1000000E+01  ,9119E+05  ,2105E+06   ,9994486  ,0123724  ,0308130
T  890  1 ,4036123E+08   1000000E+01 -,6628E+05  ,7908E+05   ,9999518 -,0092645  ,0032444
T  891  1 ,4106429E+08   1000000E+01  ,2680E+05  ,2061E+05   ,9999346  ,0110303  ,0030366
T  892  1 ,4097060E+08   1000000E+01 -,1266E+06  ,5722E+05   ,9997446 -,0107541  ,0198791
T  893  1 ,4035392E+08   1000000E+01  ,1092E+06  ,2030E+05   ,9998348  ,0170057  ,0064153
T  894  1 ,4048036E+08   1000000E+01 -,4468E+05  ,1816E+06   ,9997573 -,0011706  ,0219996
T  895  1 ,4090458E+08   1000000E+01 -,1917E+06  ,6211E+05   ,9990801 -,0371202  ,0214719
T  896  1 ,4070730E+08   1000000E+01 -,2513E+05 -,2778E+05   ,9991878 -,0311171 -,0256019
T  897  1 ,4083523E+08   1000000E+01 -,6751E+05 -,1404E+05   ,9996866  ,0211279  ,0134314
T  898  1 ,4037472E+08   1000000E+01 -,1417E+06  ,1824E+06   ,9995561 -,0181007  ,0236653
T  899  1 ,4079408E+08   1000000E+01 -,1757E+06 -,9200E+05   ,9998035 -,0169601  ,0102647
T  900  1 ,4059232E+08   1000000E+01  ,1449E+06 -,3103E+05   ,9998519  ,0166726 -,0042627
T  901  1 ,4076318E+08   1000000E+01 -,1153E+06  ,9266E+05   ,9992007 -,0169761  ,0361915
T  902  1 ,4056249E+08   1000000E+01 -,3407E+05  ,1624E+06   ,9995533 -,0077623  ,0288609
T  903  1 ,4052315E+08   1000000E+01 -,2202E+06  ,1269E+06   ,9996641 -,0231307  ,0116875
T  904  1 ,4059581E+08   1000000E+01 -,3062E+05  ,7420E+05   ,9988607 -,0476756  ,0021024
T  905  1 ,4036840E+08   1000000E+01  ,3800E+05 -,5475E+05   ,9995804  ,0288590 -,0024994
T  906  1 ,4031132E+08   1000000E+01  ,1246E+06 -,3415E+05   ,9997156  ,0210180  ,0112652
T  907  1 ,4112478E+08   1000000E+01 -,6241E+05  ,1596E+06   ,9987173 -,0187548  ,0470317
T  908  1 ,4081889E+08   1000000E+01 -,6236E+04  ,1321E+06   ,9997548  ,0084497  ,0204685
T  909  1 ,4067742E+08   1000000E+01  ,4919E+06  ,3982E+05   ,9987955  ,0483856 -,0081499
T  910  1 ,4100947E+08   1000000E+01  ,1153E+06  ,3108E+06   ,9984147  ,0249561  ,0504501
T  911  1 ,4108288E+08   1000000E+01  ,7017E+05 -,3947E+05   ,9999493  ,0032671 -,0095263
T  912  1 ,4057433E+08   1000000E+01 -,1282E+06  ,5222E+05   ,9997442 -,0154873  ,0164830
T  913  1 ,4108169E+08   1000000E+01 -,3148E+05 -,6523E+04   ,9999878 -,0014097 -,0047364
T  914  1 ,4059568E+08   1000000E+01 -,5232E+05 -,1405E+06   ,9997809 -,0055312 -,0201880
T  915  1 ,4013797E+08   1000000E+01  ,8695E+05  ,1177E+05   ,9997044  ,0166855 -,0176857
T  916  1 ,4055566E+08   1000000E+01 -,4429E+05 -,2020E+06   ,9972936  ,0168713 -,0715598
T  917  1 ,4047530E+08   1000000E+01 -,4835E+05  ,3877E+05   ,9994938 -,0069203  ,0310536
T  918  1 ,4065010E+08   1000000E+01  ,1023E+06  ,9537E+05   ,9997546  ,0141548  ,0170393
T  919  1 ,4109957E+08   1000000E+01  ,5041E+04 -,6869E+05   ,9999283 -,0089755 -,0079304
T  920  1 ,4090291E+08   1000000E+01  ,8410E+05  ,1712E+05   ,9997804  ,0208374  ,0022416
T  921  1 ,4020709E+08   1000000E+01  ,3170E+05 -,5299E+05   ,9999327  ,0072793 -,0090298
T  922  1 ,4030003E+08   1000000E+01  ,3472E+05 -,8646E+05   ,9992279 -,0164839 -,0356640
T  923  1 ,4062477E+08   1000000E+01  ,9152E+05  ,1392E+05   ,9998818  ,0134745  ,0074030
T  924  1 ,4032074E+08   1000000E+01 -,9815E+05 -,3977E+05   ,9999250 -,0063004 -,0105039
T  925  1 ,4026038E+08   1000000E+01 -,1347E+05  ,8379E+05   ,9997313  ,0191397  ,0130760
T  926  1 ,4095123E+08   1000000E+01 -,1241E+05 -,1740E+06   ,9999596  ,0079337 -,0042254
T  927  1 ,4094727E+08   1000000E+01 -,4897E+05 -,2074E+06   ,9977197  ,0040505 -,0673719
T  928  1 ,4056071E+08   1000000E+01 -,6384E+04 -,1394E+05   ,9999799  ,0062575  ,0009881
T  929  1 ,4064950E+08   1000000E+01 -,1889E+06  ,1998E+06   ,9996958 -,0242595  ,0044489
T  930  1 ,4052425E+08   1000000E+01  ,1095E+05 -,1462E+06   ,9997236  ,0069339 -,0224638
T  931  1 ,4021184E+08   1000000E+01 -,5747E+05  ,5199E+05   ,9998626 -,0137888  ,0092004
T  932  1 ,4108423E+08   1000000E+01 -,1502E+06  ,9979E+05   ,9997509 -,0222400 -,0018514
T  933  1 ,4062103E+08   1000000E+01  ,1361E+06 -,2203E+06   ,9997907  ,0087055 -,0185143
T  934  1 ,4019400E+08   1000000E+01 -,3486E+05 -,1710E+06   ,9994642 -,0218915 -,0243321
T  935  1 ,4104980E+08   1000000E+01  ,2625E+06  ,6369E+05   ,9990044  ,0445730 -,0018728
T  936  1 ,4068441E+08   1000000E+01 -,8822E+05  ,4656E+05   ,9997299 -,0229196  ,0038558
T  937  1 ,4099761E+08   1000000E+01 -,4132E+05 -,1699E+05   ,9998738 -,0047206 -,0151707
T  938  1 ,4087342E+08   1000000E+01 -,4155E+05 -,9500E+04   ,9999771 -,0002847 -,0067678
T  939  1 ,4025906E+08   1000000E+01  ,1197E+06 -,5087E+05   ,9992887  ,0367778 -,0083323
T  940  1 ,4088176E+08   1000000E+01 -,1358E+05  ,6438E+05   ,9999439  ,0021285  ,0103727
T  941  1 ,4062218E+08   1000000E+01  ,8558E+05 -,7753E+04   ,9999888  ,0002973  ,0047204
